q_id,question_content,s_id,exam_paper_year,exam_paper_link
11,"A ausência de uma pauta exterior comum nas transações comerciais de mercadorias entre
Estados-Membros e países terceiros é uma das características da forma de integração económica
designada por",4,2019,https://iave.pt/wp-content/uploads/2020/02/EX-EconA712-F1-2019-V1_net.pdf
12,"Em 2018, numa economia fechada, existiam apenas duas grandes empresas produtoras de iogurtes
(empresa E e empresa F). Nesse ano, a administração da empresa E, com o objetivo de aumentar o lucro
através do controlo do preço do iogurte, procurou adquirir a empresa F.

Neste contexto, e considerando-se tudo o resto constante, o Estado decidiu inviabilizar essa aquisição.
Através desta intervenção, o Estado pretendeu promover a eficiência económica,",4,2019,https://iave.pt/wp-content/uploads/2020/02/EX-EconA712-F1-2019-V1_net.pdf
13,"As alterações introduzidas pelo Tratado de Maastricht concederam ao Conselho Europeu o seu estatuto
formal. Este Conselho tem como função principal",4,2019,https://iave.pt/wp-content/uploads/2020/02/EX-EconA712-F1-2019-V1_net.pdf
14,"Considere que o António recebe todos os meses uma nota de 100 euros. Em janeiro, o António, ao utilizar
a mesada, optou por comprar um par de ténis, gastando 80 euros, e colocou o valor restante no seu
mealheiro.

No contexto descrito, podemos afirmar que, quando o António",4,2021,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
15,"O valor acrescentado criado no processo produtivo representa a remuneração dos fatores de produção
intervenientes nesse processo, de acordo com a participação de cada um deles. Assim, pode afirmar-se
que os rendimentos distribuídos pelos fatores de produção, sob a forma de rendas, juros,",4,2021,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
16,"Considere as afirmações seguintes, relativas aos destinos (ou às aplicações) da poupança.

I. As poupanças das famílias tiveram como destino a aquisição de habitação própria.
II. As poupanças das famílias foram aplicadas na constituição de contas bancárias a prazo.
III. As empresas utilizaram os lucros não distribuídos aos acionistas para a aquisição de bens de produção
duradouros.

No contexto dos destinos (ou das aplicações) da poupança é correto afirmar que, para os agentes
económicos referidos, as afirmações",4,2021,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
17,"Uma empresa de capitais alemães, que se dedica à produção de automóveis, dispõe de uma unidade
industrial em Portugal desde 1995.

O valor acrescentado bruto criado na produção de automóveis, por esta unidade industrial, em Portugal, é
contabilizado, pelo sistema de contas nacionais, no produto interno bruto (PIB) português.

Esta afirmação é",4,2021,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
18,"Em Portugal, os fundos provenientes da União Europeia, no âmbito do Fundo de Coesão, são registados ",4,2021,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
19,"Uma das características de um bem público é o facto de a sua utilização por mais um consumidor não
reduzir a quantidade do bem colocada à disposição dos restantes consumidores.
Com base na característica acima descrita, podemos afirmar que este bem é considerado um bem",4,2021,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
20,"Compete ao Banco Central Europeu e à Comissão Europeia, respetivamente,",4,2021,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
21,"Numa dada economia, uma empresa privada de transporte rodoviário de passageiros decidiu despender
100 milhões de euros na compra de novos autocarros, com o objetivo de retirar de circulação os veículos
degradados, proporcionando uma melhoria da qualidade do serviço prestado.

Para a empresa, a aquisição dos novos autocarros constitui um exemplo de",4,2019,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
22,"Num mercado de concorrência monopolística, um pequeno produtor consegue, no curto prazo, praticar um
preço superior ao preço que vigoraria se o mercado fosse de concorrência perfeita.

Esta afirmação é verdadeira, pois, no mercado de concorrência monopolística, ao contrário do que sucede
no mercado de concorrência perfeita,",4,2019,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
23,"Uma empresa aumentou a produção, tendo registado, a longo prazo, um aumento de 10% na quantidade
produzida e uma redução de 18% no custo médio de produção.

Com base na situação descrita, podemos afirmar que a referida empresa obteve",4,2019,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
24,Constitui exemplo de um fluxo real das empresas não financeiras para as famílias,4,2019,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
25,"A ausência de uma pauta exterior comum nas transações comerciais de mercadorias entre
Estados-Membros e países terceiros é uma das características da forma de integração económica
designada por",4,2019,https://iave.pt/wp-content/uploads/2021/07/EX-EconA712-F1-2021-V1_net.pdf
26,"Numa escola frequentada por estudantes portugueses e estrangeiros, 60% dos alunos são raparigas e 15% são rapazes estrangeiros.

Escolheu-se, ao acaso, um aluno dessa escola e verificou-se que era um rapaz.

Qual é a probabilidade de ele ser português?",12,2021,https://iave.pt/wp-content/uploads/2021/07/EX-MatA635-F1-2021_net.pdf
27,"Quatro pessoas vão escolher, cada uma e em segredo, um dos seguintes números: 1, 2, 3, 4 e 5

Qual é a probabilidade de exatamente duas delas escolherem o número 5 ?",12,2020,https://iave.pt/wp-content/uploads/2021/01/EX-MatA635-F1-2020_net.pdf
28,"Uma caixa contém bolas de várias cores, indistinguíveis ao tato, umas com um logotipo desenhado e outras
não. Das bolas existentes na caixa, dez são amarelas. Dessas dez bolas, três têm o logotipo desenhado.",12,2019,https://iave.pt/wp-content/uploads/2020/02/EX-MatA635-F1-2019-Cad1_net.pdf
29,"Sejam a e b dois números reais positivos tais que a > 2

Sabe-se que a + b = 2(a - b)

Qual é o valor, arredondado às décimas, de ln(a^2 - b^2) - 2ln(a+b)?",12,2019,https://iave.pt/wp-content/uploads/2020/02/EX-MatA635-F1-2019-Cad1_net.pdf
30,"Uma escola dedica-se ao ensino de Espanhol e de Inglês, entre outras línguas.

Doze alunos dessa escola, quatro de Espanhol e oito de Inglês, dispõem-se lado a lado em linha reta
para tirar uma fotografia.

De quantas maneiras se podem dispor os doze alunos, de modo que os alunos da mesma disciplina
fiquem juntos?",12,2018,https://iave.pt/wp-content/uploads/2020/04/EX-MatA635-F1-2018-Cad1_net.pdf
31,"Considere todos os números naturais de quatro algarismos que se podem formar com os algarismos de 1 a 9

Destes números, quantos são múltiplos de 5 ?",12,2017,https://iave.pt/wp-content/uploads/2020/04/EX-MatA635-F1-2017-V1.pdf
32,"Uma turma é constituída por rapazes e por raparigas, num total de 20 alunos.

Sabe-se que:
• 1/4 dos rapazes tem olhos verdes;
•  escolhido, ao acaso, um aluno da turma, a probabilidade de ele ser rapaz e de ter olhos verdes é 1/10

Quantos rapazes tem a turma?",12,2017,https://iave.pt/wp-content/uploads/2020/04/EX-MatA635-F1-2017-V1.pdf
33,"Dois rapazes e quatro raparigas vão sentar-se num banco corrido com seis lugares.

De quantas maneiras o podem fazer, de modo que fique um rapaz em cada extremidade do banco?",12,2015,https://iave.pt/wp-content/uploads/2020/04/EX-MatA635-F1-2015-V1.pdf
